"","x"
"1",2
"2",2
"3",2
"4",2
"5",2
"6",2
"7",2
"8",2
"9",1
"10",1
"11",2
"12",1
"13",1
"14",2
"15",1
"16",1
"17",2
"18",1
"19",1
"20",2
"21",1
"22",1
"23",2
"24",1
"25",1
"26",2
"27",1
"28",1
"29",3
"30",1
"31",2
"32",1
"33",2
"34",1
"35",1
"36",2
"37",1
"38",1
"39",2
"40",1
"41",3
"42",1
"43",2
"44",1
"45",3
"46",1
"47",2
"48",1
"49",2
"50",1
"51",3
"52",1
"53",2
"54",1
"55",3
"56",1
"57",2
"58",1
"59",3
"60",1
"61",2
"62",1
"63",3
"64",1
"65",2
"66",1
"67",3
"68",1
"69",2
"70",1
"71",2
"72",1
"73",1
"74",2
"75",1
"76",2
"77",1
"78",3
"79",1
"80",2
"81",1
"82",3
"83",1
"84",2
"85",1
"86",3
"87",1
"88",2
"89",1
"90",3
"91",1
"92",2
"93",1
"94",3
"95",1
"96",2
"97",1
"98",3
"99",1
"100",2
"101",1
"102",3
"103",1
"104",2
"105",1
"106",3
"107",1
"108",2
"109",1
"110",3
"111",1
"112",2
"113",1
"114",3
"115",1
"116",2
"117",1
"118",3
"119",1
"120",2
"121",1
"122",3
"123",1
"124",2
"125",1
"126",3
"127",1
"128",2
"129",1
"130",3
"131",1
"132",2
"133",1
"134",3
"135",1
"136",2
"137",1
"138",3
"139",1
"140",2
"141",1
"142",3
"143",1
"144",1
"145",3
"146",1
"147",2
"148",1
"149",3
"150",1
"151",2
"152",1
"153",3
"154",1
"155",1
"156",3
"157",1
"158",2
"159",1
"160",3
"161",1
"162",2
"163",1
"164",3
"165",1
"166",2
"167",1
"168",3
"169",1
"170",2
"171",1
"172",3
"173",1
"174",2
"175",1
"176",3
"177",1
"178",2
"179",1
"180",1
"181",2
"182",1
"183",3
"184",1
"185",2
"186",1
"187",3
"188",1
"189",2
"190",1
"191",2
"192",1
"193",3
"194",1
"195",2
"196",1
"197",3
"198",1
"199",2
"200",1
"201",3
"202",1
"203",2
"204",1
"205",3
"206",1
"207",2
"208",1
"209",3
"210",1
"211",2
"212",1
"213",3
"214",1
