"","x"
"1",0.0253778849431818
"2",0.008824
"3",-0.00089
"4",0.075875
"5",0.017303
"6",-0.00677
"7",0.020755
"8",-0.09494
"9",-0.05453
"10",-0.02506
"11",0.0253778849431818
"12",0.108454
"13",0.078633
"14",0.098571
"15",0.044048
"16",0.018039
"17",-0.08881
"18",0.016349
"19",0.030977
"20",0.071137
"21",-0.00989
"22",-0.00647
"23",-0.00325
"24",0.0253778849431818
"25",-0.01963
"26",0.045582
"27",0.132768
"28",0.13352
"29",0.156767
"30",0.009122
"31",0.123443
"32",0.0253778849431818
"33",0.139503
"34",-0.01575
"35",0.058658
"36",-0.04704
"37",0.097608
"38",0.030969
"39",0.005449
"40",-0.00302
"41",0.110623
"42",-0.00974
"43",0.006256
"44",0.016967
"45",0.012966
"46",-0.08402
"47",0.037796
"48",0.013165
"49",0.075877
"50",0.012591
"51",0.0253778849431818
"52",0.082055
"53",-0.10104
"54",-0.06539
"55",-0.1451
"56",0.0253778849431818
"57",0.0253778849431818
"58",-0.06432
"59",0.108947
"60",-0.01239
"61",0.046397
"62",0.027309
"63",-0.10398
"64",0.045395
"65",0.0253778849431818
"66",-0.07913
"67",0.0253778849431818
"68",0.018673
"69",-0.02705
"70",0.112587
"71",0.0147
"72",-0.05617
"73",0.023271
"74",0.017163
"75",0.128374
"76",0.012954
"77",-0.02681
"78",-0.00028
"79",-0.01184
"80",0.058913
"81",0.032282
"82",0.10056
"83",0.142153
"84",0.262504
"85",-0.0489
"86",-0.04812
"87",-0.00389
"88",0.047613
"89",-0.05226
"90",0.19298
"91",0.035928
"92",0.099558
"93",0.070758
"94",-0.02176
"95",0.086241
"96",0.059642
"97",-0.00733
"98",0.006002
"99",-0.03893
"100",-0.0374
"101",0.127727
"102",-0.01715
"103",-0.04157
"104",-0.03438
"105",0.043413
"106",-0.02106
"107",-0.01377
"108",-0.00373
"109",0.031748
"110",-0.01756
"111",0.134116
"112",0.074466
"113",0.055195
"114",0.212079
"115",0.109432
"116",0.048433
"117",0.15288
"118",0.090067
"119",0.120208
"120",-0.00112
"121",0.046596
"122",-0.02909
"123",0.123064
"124",-0.03934
"125",-0.05478
"126",-0.07598
"127",-0.00455
"128",0.003484
"129",-0.01397
"130",-0.01908
"131",0.033579
"132",-0.07934
"133",0.054599
"134",-0.01714
"135",0.062351
"136",0.03027
"137",0.0253778849431818
"138",-0.12425
"139",0.007088
"140",-0.24996
"141",-0.0695
"142",-0.05489
"143",-0.01537
"144",0.025547
"145",-0.01391
"146",-0.01155
"147",0.028237
"148",-0.02513
"149",0.0253778849431818
"150",0.0253778849431818
"151",0.058062
"152",-0.07041
"153",-0.08228
"154",0.029889
"155",0.035007
"156",0.050741
"157",-0.01497
"158",0.027122
"159",0.076119
"160",-0.08042
"161",0.07505
"162",0.137227
"163",0.025142
"164",-0.05889
"165",-0.01606
"166",0.035648
"167",-0.01121
"168",0.065366
"169",0.020566
"170",-0.01199
"171",-0.08158
"172",0.03111
"173",0.021979
"174",0.0253778849431818
"175",-0.03395
